"healthy_66"	"healthy_67"	"healthy_68"	"healthy_69"	"healthy_70"	"diseased_71"	"diseased_72"	"diseased_73"	"diseased_74"	"diseased_75"
"TRNP"	107	94	27	64	54	87	60	50	51	81
"TRNT"	192	149	91	173	174	103	117	88	121	81
"CYTB"	84208	81337	41596	81309	71167	49835	49837	43398	45547	49032
"TRNE"	25	10	4	21	9	10	8	8	5	10
"ND6"	2100	1696	830	1525	1405	1650	1336	1017	1223	1825
"ND5"	125232	107825	53091	106494	111659	73828	80428	81417	81666	89945
"TRNL2"	2	0	0	2	1	0	1	1	1	0
"TRNS2"	0	0	0	0	0	0	0	0	0	0
"TRNH"	5	2	2	2	0	3	1	4	0	3
"ND4"	160680	139417	66163	139548	120339	96167	109725	106255	109272	113726
"ND4L"	22791	20081	9861	19297	20274	16779	17273	13986	15868	18041
"TRNR"	2	2	0	4	0	1	2	1	2	2
"ND3"	14362	13786	10133	14617	13230	9747	9783	8502	9365	9327
"TRNG"	1	5	0	5	0	2	2	1	0	0
"COX3"	102356	91891	53450	98035	81971	60912	62421	52045	56742	67449
"ATP6"	97611	86115	45107	90656	80303	52297	53185	49082	49764	51910
"ATP8"	20269	18238	10296	19523	12583	10490	10536	9533	9821	9264
"TRNK"	1	2	0	2	0	1	1	0	2	0
"COX2"	91620	82008	52358	89931	81259	63989	58293	52259	58616	68741
"TRND"	19	19	7	24	11	26	35	22	30	27
"TRNS1"	17	12	8	15	23	18	18	22	19	27
"COX1"	319555	280657	147908	289157	255009	190535	190742	171124	181382	205830
"TRNY"	7	9	3	7	4	4	5	2	6	9
"TRNC"	49	41	22	26	25	27	27	20	23	33
"TRNN"	0	0	0	0	0	0	0	0	0	1
"TRNA"	13	23	6	24	24	20	17	10	12	13
"TRNW"	18	12	5	16	15	13	20	6	10	10
"ND2"	60534	56268	27753	58710	53132	42863	45653	43781	46738	50755
"TRNM"	15	14	9	24	11	66	49	64	56	86
"TRNQ"	104	95	40	93	101	75	59	52	64	79
"TRNI"	35	32	6	37	37	40	41	37	35	34
"ND1"	47276	41228	18703	44159	38391	28223	30373	29649	31253	33848
"TRNL1"	289	263	134	235	208	217	305	174	303	218
"RNR2"	196598	205535	116744	221183	206857	144482	164520	141908	170944	153689
"TRNV"	19	27	9	27	33	7	14	12	16	10
"RNR1"	20325	21502	13276	22734	21363	16064	17825	15261	17412	18022
